artist_mbid,date_uts,date_#text,artist,album,song,week
64b94289-9474-4d43-8c93-918ccc1920d1,1607356513,"07 Dec 2020, 15:55",Billy Joel,The Stranger (Legacy Edition),Movin' Out (Anthony's Song),2658
ff294730-0315-440d-a543-54005779c15b,1607356333,"07 Dec 2020, 15:52",The Mamas & the Papas,Deliver,Dedicated To The One I Love,2658
1e32c30b-ae23-4a7e-9cb7-5b6bc64002ef,1607356024,"07 Dec 2020, 15:47",ABBA,Voulez-Vous,Voulez-Vous,2658
,1607355826,"07 Dec 2020, 15:43",Bee Gees,Greatest,"More Than A Woman - From ""Saturday Night Fever"" Soundtrack",2658
a42d3fd5-55de-4206-86c3-4fbb5404018f,1607355645,"07 Dec 2020, 15:40",Neil Diamond,The Bang Years 1966-1968 (The 23 Original Mono Recordings),"Girl, You'll Be a Woman Soon",2658
b83bc61f-8451-4a5d-8b8e-7e9ed295e822,1607355344,"07 Dec 2020, 15:35",Elton John,Honky Chateau,Mona Lisas And Mad Hatters,2658
4d2956d1-a3f7-44bb-9a41-67563e1a0c94,1607355130,"07 Dec 2020, 15:32",Blondie,Atomic/Atomix,Call Me,2658
1e32c30b-ae23-4a7e-9cb7-5b6bc64002ef,1607354877,"07 Dec 2020, 15:27",ABBA,Super Trouper,Super Trouper,2658
,1607354682,"07 Dec 2020, 15:24",The Mamas & the Papas,The Papas & The Mamas,Dream A Little Dream Of Me - With Introduction,2658
1d543e07-d0d2-4834-a8db-d65c50c2a856,1607354502,"07 Dec 2020, 15:21",Dolly Parton,Here You Come Again,Here You Come Again,2658
b60527cc-54f3-4bbe-a01b-dcf34c95ae14,1607354006,"07 Dec 2020, 15:13",Donna Summer,Bad Girls (Deluxe Edition),"I Feel Love - 12"" Version",2658
b83bc61f-8451-4a5d-8b8e-7e9ed295e822,1607353813,"07 Dec 2020, 15:10",Elton John,Goodbye Yellow Brick Road (Remastered),Goodbye Yellow Brick Road - Remastered 2014,2658
b896aa8c-2761-40ce-b485-0e1fffd26167,1607353648,"07 Dec 2020, 15:07",Dusty Springfield,Dusty... Definitely,Spooky,2658
1e32c30b-ae23-4a7e-9cb7-5b6bc64002ef,1607353419,"07 Dec 2020, 15:03",ABBA,Arrival,Dancing Queen,2658
1e32c30b-ae23-4a7e-9cb7-5b6bc64002ef,1607353152,"07 Dec 2020, 14:59",ABBA,Arrival,Happy Hawaii,2658
1e32c30b-ae23-4a7e-9cb7-5b6bc64002ef,1607352899,"07 Dec 2020, 14:54",ABBA,Arrival,Fernando,2658
1e32c30b-ae23-4a7e-9cb7-5b6bc64002ef,1607352718,"07 Dec 2020, 14:51",ABBA,Arrival,Arrival,2658
1e32c30b-ae23-4a7e-9cb7-5b6bc64002ef,1607352543,"07 Dec 2020, 14:49",ABBA,Arrival,Tiger,2658
,1607352342,"07 Dec 2020, 14:45",ABBA,Arrival,Why Did It Have to Be Me?,2658
1e32c30b-ae23-4a7e-9cb7-5b6bc64002ef,1607352147,"07 Dec 2020, 14:42",ABBA,Arrival,That's Me,2658
1e32c30b-ae23-4a7e-9cb7-5b6bc64002ef,1607351961,"07 Dec 2020, 14:39",ABBA,Arrival,"Money, Money, Money",2658
1e32c30b-ae23-4a7e-9cb7-5b6bc64002ef,1607351719,"07 Dec 2020, 14:35",ABBA,Arrival,"Knowing Me, Knowing You",2658
1e32c30b-ae23-4a7e-9cb7-5b6bc64002ef,1607351545,"07 Dec 2020, 14:32",ABBA,Arrival,Dum Dum Diddle,2658
1e32c30b-ae23-4a7e-9cb7-5b6bc64002ef,1607351314,"07 Dec 2020, 14:28",ABBA,Arrival,"My Love, My Life",2658
1e32c30b-ae23-4a7e-9cb7-5b6bc64002ef,1607351084,"07 Dec 2020, 14:24",ABBA,Arrival,Dancing Queen,2658
1e32c30b-ae23-4a7e-9cb7-5b6bc64002ef,1607350904,"07 Dec 2020, 14:21",ABBA,Arrival,When I Kissed the Teacher,2658
,1607133870,"05 Dec 2020, 02:04",David Boring,Unnatural Objects and Their Humans (remastered 2020),Machine#2 - Remastered 2020,2657
,1607133585,"05 Dec 2020, 01:59",David Boring,Unnatural Objects and Their Humans (remastered 2020),Men - Remastered 2020,2657
,1607133481,"05 Dec 2020, 01:58",David Boring,Unnatural Objects and Their Humans (remastered 2020),Loosefuck - Remastered 2020,2657
,1607133269,"05 Dec 2020, 01:54",David Boring,Unnatural Objects and Their Humans (remastered 2020),Machine#1 - Remastered 2020,2657
,1607132954,"05 Dec 2020, 01:49",David Boring,Unnatural Objects and Their Humans (remastered 2020),Brian Emo - Remastered 2020,2657
,1607132769,"05 Dec 2020, 01:46",David Boring,Unnatural Objects and Their Humans (remastered 2020),Smog - Remastered 2020,2657
,1607132407,"05 Dec 2020, 01:40",David Boring,Unnatural Objects and Their Humans (remastered 2020),Jane Pain - Remastered 2020,2657
b2d122f9-eadb-4930-a196-8f221eeb0c66,1607132109,"05 Dec 2020, 01:35",Rammstein,"Reise, Reise",Mein Teil,2657
